Metric,Boot_CI_2.5%,Boot_Mean,Boot_CI_97.5%
RMSE,0.322015,0.323452,0.325085
MAE,0.239334,0.241291,0.243162
R2,0.524815,0.529703,0.534030
Pearson r,0.800886,0.805306,0.809366
